PreimageNumber,PostImageNumber,pval
22,19,3
19,18,1
20,18,2
21,20,1
20,19.5,0.5
21,20,1
19,18.5,0.5
20,19,1
19,18.5,0.5
19,18.5,0.5
20,19,1
21,21,0
21,20.5,0.5
19,18.5,0.5
20,20,0
21,20.5,0.5
20,20,0
21,20.5,0.5
21,20,1
21,21,0
22,22,0
20,19.3,0.7
20,19,1
21,20.6,0.4
21,20,1
21,20.5,0.5
21,21,0
20,19.8,0.2
21,19.6,1.4
21,20.6,0.4
21,21,0
22,21.5,0.5
21,20.8,0.2
22,22,0
21,20.2,0.8
22,21,1
20,18,2
21,20.6,0.4
21,21,0
20,19.8,0.2
19,18.6,0.4
22,21,1
19,16,3
19,19,0
20,20,0
21,20,1
22,21.6,0.4
21,21,0
21,20,1
22,21.8,0.2
22,22,0
21,20,1
22,22,0
22,22,0
21,20.6,0.4
20,19,1
21,21,0
22,21.4,0.6
22,22,0
21,20,1
20,19.8,0.2
22,21,1
20,19.8,0.2
20,20,0
22,21,1
22,21.3,0.7
22,22,0
21,20.5,0.5
22,22,0
21,20,1
20,20,0
22,22,0
20,21.9,-1.9
21,20,1
22,21.5,0.5
22,20,2
21,22,-1
21,20.2,0.8
20,19.8,0.2
22,22,0
21,20.8,0.2
22,21.5,0.5
21,21,0
21,20.6,0.4
22,22,0
21,20.8,0.2
21,21,0
20,19.7,0.3
22,21,1
21,21,0
22,22,0
20,19.5,0.5
22,21.7,0.3
22,22,0
21,21,0
20,19.6,0.4
22,22,0
21,20.5,0.5
20,19,1
22,22,0
